Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,450,183,6552,1.56 ,0.00022 ,0.06 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,500,186,6793,1.31 ,0.00024 ,0.09 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,550,191,7069,1.13 ,0.00026 ,0.13 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,600,195,6879,0.99 ,0.00026 ,0.16 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,650,200,6448,0.85 ,0.00026 ,0.20 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.025Cd0.975SnSe4,700,204,6259,0.75 ,0.00026 ,0.24 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,300,142,10750,2.34 ,0.00022 ,0.03 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,350,143,12135,1.95 ,0.00025 ,0.04 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,400,145,13595,1.68 ,0.00029 ,0.07 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,450,147,16236,1.39 ,0.00035 ,0.11 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,500,152,18427,1.15 ,0.00043 ,0.19 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,550,156,18258,0.96 ,0.00044 ,0.25 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,600,161,16910,0.83 ,0.00044 ,0.31 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,650,165,15510,0.70 ,0.00042 ,0.39 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.05Cd0.95SnSe4,700,171,14330,0.61 ,0.00042 ,0.48 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,300,130,20517,2.05 ,0.00034 ,0.05 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,350,132,21034,1.71 ,0.00037 ,0.07 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,400,135,22184,1.45 ,0.00040 ,0.11 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,450,139,23908,1.22 ,0.00046 ,0.17 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,500,141,25517,1.01 ,0.00051 ,0.25 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,550,144,24080,0.83 ,0.00050 ,0.33 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,600,148,21900,0.72 ,0.00048 ,0.40 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,650,151,20100,0.60 ,0.00046 ,0.50 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2.1Cd0.9SnSe4,700,157,18960,0.50 ,0.00047 ,0.65 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,300,236,2431,2.78 ,0.00014 ,0.01 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,350,238,2741,2.35 ,0.00016 ,0.02 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,400,242,3138,2.02 ,0.00018 ,0.04 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,450,245,3328,1.74 ,0.00020 ,0.05 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,500,251,3466,1.52 ,0.00022 ,0.07 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,550,262,3465,1.37 ,0.00024 ,0.10 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,600,275,3450,1.25 ,0.00026 ,0.13 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,650,286,3328,1.12 ,0.00027 ,0.16 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2CdSnSe4,700,297,3103,1.01 ,0.00027 ,0.19 ,10.1002/adma.200900409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,323 ,-213,31000,1.25,0.00141 ,0.37 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,698 ,-311,10860,0.71,0.00105 ,1.04 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,373 ,-228,27400,1.09,0.00142 ,0.49 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,423 ,-246,23400,0.99,0.00141 ,0.60 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,473 ,-257,19471,0.91,0.00128 ,0.67 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,523 ,-270,16390,0.82,0.00119 ,0.76 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,598 ,-293,12460,0.74,0.00107 ,0.86 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,623 ,-297,12000,0.74,0.00106 ,0.89 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,648 ,-302,11516,0.73,0.00105 ,0.93 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.32Cl0.03,673 ,-306,11180,0.72,0.00105 ,0.97 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,323 ,-103,105263,0.88,0.00112 ,0.41 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,423 ,-137,71050,0.74,0.00134 ,0.76 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,473 ,-151,50000,0.68,0.00156 ,0.79 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,523 ,-165,40910,0.66,0.00117 ,0.88 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,573 ,-179,33333,0.62,0.00108 ,1.00 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,598 ,-193,31890,0.62,0.00119 ,1.15 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,623 ,-203,30451,0.61,0.00125 ,1.27 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,648 ,-208,29137,0.60,0.00126 ,1.36 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In4Se2.67Cl0.03,698 ,-219,26300,0.58,0.00126 ,1.53 ,10.1002/adma.201004739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.94Pb0.06Se3,330,-200,7300,1.52 ,0.00029 ,0.06 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.94Pb0.06Se3,405,-220,7800,1.35 ,0.00038 ,0.11 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.94Pb0.06Se3,480,-256,8700,1.22 ,0.00057 ,0.22 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.94Pb0.06Se3,518,-256,8100,1.17 ,0.00053 ,0.23 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.95Pb0.05Se3,330,-207,5150,1.06 ,0.00022 ,0.07 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.95Pb0.05Se3,405,-230,7500,0.93 ,0.00040 ,0.17 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.95Pb0.05Se3,480,-242,11200,0.86 ,0.00066 ,0.37 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.95Pb0.05Se3,518,-259,10900,0.81 ,0.00073 ,0.47 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.96Pb0.04Se3,330,-192,7000,1.24 ,0.00026 ,0.07 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.96Pb0.04Se3,405,-221,8700,1.04 ,0.00042 ,0.17 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.96Pb0.04Se3,480,-245,10000,0.91 ,0.00060 ,0.32 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.96Pb0.04Se3,518,-272,9500,0.86 ,0.00070 ,0.42 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.99Pb0.01Se3,330,-206,10000,1.12 ,0.00042 ,0.13 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.99Pb0.01Se3,405,-221,10700,0.97 ,0.00052 ,0.22 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.99Pb0.01Se3,480,-242,12247,0.91 ,0.00072 ,0.38 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In3.99Pb0.01Se3,518,-252,11111,0.88 ,0.00071 ,0.42 ,10.1002/adma.201302038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,410,85,55023,0.86 ,0.00040 ,0.19 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,300,92,99586,0.88 ,0.00084 ,0.29 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,425,118,51060,0.86 ,0.00071 ,0.35 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,350,101,87320,0.80 ,0.00090 ,0.39 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,450,126,47255,0.86 ,0.00075 ,0.39 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,359,104,82534,0.73 ,0.00090 ,0.44 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,365,107,76750,0.67 ,0.00089 ,0.48 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,375,115,64785,0.54 ,0.00085 ,0.59 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,385,127,52850,0.38 ,0.00086 ,0.86 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se,400,167,40986,0.20 ,0.00114 ,2.28 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,300,145,15720,0.47 ,0.00033 ,0.21 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,385,180,10760,0.51 ,0.00035 ,0.27 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,400,186,10472,0.52 ,0.00036 ,0.28 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,410,190,10278,0.52 ,0.00037 ,0.29 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,425,198,9940,0.52 ,0.00039 ,0.32 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,375,175,10900,0.39 ,0.00033 ,0.33 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,450,209,9353,0.52 ,0.00041 ,0.35 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,365,155,10657,0.25 ,0.00026 ,0.38 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,350,175,11446,0.26 ,0.00035 ,0.48 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.92I0.08,359,191,8986,0.14 ,0.00033 ,0.84 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,300,85,64438,0.74 ,0.00046 ,0.19 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,385,94,40986,0.64 ,0.00036 ,0.22 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,400,112,41410,0.79 ,0.00052 ,0.26 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,410,116,40864,0.79 ,0.00055 ,0.28 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,425,121,39380,0.79 ,0.00058 ,0.31 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,450,129,36963,0.79 ,0.00062 ,0.35 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,350,106,47628,0.50 ,0.00054 ,0.38 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,359,115,40033,0.41 ,0.00053 ,0.46 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,365,120,34927,0.35 ,0.00050 ,0.52 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu2Se0.96I0.04,375,134,27140,0.25 ,0.00048 ,0.74 ,10.1002/adma.201302660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,320,74,95941,1.58 ,0.00052 ,0.11 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,363,83,86200,1.50 ,0.00060 ,0.14 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,410,91,75267,1.39 ,0.00063 ,0.19 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,457,103,66864,1.32 ,0.00070 ,0.24 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,503,110,57326,1.18 ,0.00069 ,0.30 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,600,128,44182,1.16 ,0.00072 ,0.37 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,550,123,48859,1.06 ,0.00074 ,0.38 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,818,180,19177,0.69 ,0.00062 ,0.73 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TmCuTe2,720,175,23731,0.71 ,0.00073 ,0.74 ,10.1002/chem.201404453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8GeTe6,329 ,519,95,0.25,0.00003 ,0.03 ,10.1002/pssr.200701302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ag8GeTe6,413 ,467,275,0.27,0.00006 ,0.09 ,10.1002/pssr.200701302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
